msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35202	84.5093	-129.692	705.048	64.7165	-182.462	765.337	82.5295	0.0528453	0.78469	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35202	84.5093	-129.692	705.048	84.5935	-129.561	704.727	0.356882	0.877757	0.78469	0.230595	0.163552	11	1	0	-0.623754	0.717235	-0.310653	-0.564882	0.674138	-0.475864	0.738605	-0.644273	0.183878	0.347676	0.125228	0.188093	0.188088	0.188092	-0.0224078	0.848476	-0.334219	2.61861	0.341309	2.78434	0.341309	0.843648	0.893112	0.711538	0.77404	5.33357	0.538641	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35334	-216.061	-145.606	397.246	-358.031	-177.32	-804.361	1210.38	0.00113759	1.25643	-5	-5	-5	1	1	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35334	-216.061	-145.606	397.246	-216.049	-145.212	397.934	0.793268	0.863221	1.25643	0.967908	0.786618	11	1	1	-0.25777	-0.268535	0.92814	-0.242246	-0.262054	0.934154	0.965053	0.967982	0.688449	0.697545	0.790857	0.913047	0.912946	0.91288	-0.245987	-0.23594	-0.133669	2.36613	2.77898	2.92361	2.36613	0.694962	0.781397	0.896705	0.994211	2.4811	1.36514	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35334	-216.061	-145.606	397.246	-143.717	51.3315	646.705	325.957	3.2792e-05	1.25643	-5	-5	-5	1	1	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35334	-216.061	-145.606	397.246	-237.404	131.472	597.335	342.437	0.005735	1.25643	0.967908	0.786619	11	1	1	0.149122	-0.956304	0.251485	-0.242246	-0.262054	0.934154	0.965053	0.967982	0.844097	0.805337	0.676343	0.913047	0.912946	0.91288	-0.0755155	-0.117871	-0.259111	1.53119	1.87243	1.92083	1.53119	0.010352	0.000588173	0.00722892	1	0.523766	0	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35334	-216.061	-145.606	397.246	-245.937	122.98	-607.69	1040.64	0.00116335	1.25643	-5	-5	-5	1	1	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35334	-216.061	-145.606	397.246	-156.642	127.197	689.371	404.091	2.54986e-05	1.25643	-5	-5	-5	1	1	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	-160.885	-181.064	-477.482	751.871	0.000390507	2.18361	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	-183.279	124.842	-738.495	980.794	0.000235505	2.18361	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	-236.546	2.48758	-277.567	607.808	0.00110529	2.18361	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	180.217	8.83812	164.938	0.650594	0.82369	2.18361	1.47223	1.21316	11	1	0	0.200422	0.0372887	0.979	0.216487	-0.000185141	0.976285	1	0.976286	2.11217	-5	1.33948	1.46596	1.46539	1.46592	0.440812	-4.41206	-0.0862532	2.4746	2.75905	-999	2.75905	0.577057	0.714738	0.944374	0.938603	1.90422	0.759668	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	243.649	52.9166	275.7	134.908	0.0128651	2.18361	1.47223	1.21316	11	1	0	-0.348599	0.855201	0.383549	0.216487	-0.000185141	0.976285	1	0.976286	0.353651	0.284853	0.309711	1.46596	1.46539	1.46592	-0.758758	-0.805613	-0.788726	2.90425	0.477507	3.3185	2.90425	0.01854	0.00842456	0.0753532	1	0.510923	0.611709	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	100.045	134.614	867.597	717.889	4.85582e-05	2.18361	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	243.412	132.426	-171.875	364.595	0.000208306	2.18361	1.47223	1.21316	11	1	0	0.0665028	-0.566171	-0.821601	0.216487	-0.000185141	0.976285	1	0.976286	1.57047	1.45939	1.54869	1.46596	1.46539	1.46592	0.0712902	-0.00409539	0.0564664	2.49766	2.01897	3.00824	2.49766	0.000772499	0.000338363	0.000539811	1	0.0753752	0	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	237.795	133.392	410.86	281.307	2.03858e-05	2.18361	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	61.1674	8.32	-139.582	327.095	0.000617626	2.18361	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35442	179.726	9.10724	165.269	103.368	-15.4013	291.462	149.519	2.03352e-06	2.18361	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35502	-317.998	5.62423	-842.714	-318.683	12.3763	-778.047	65.0219	0.821797	4.2179	3.80095	2.98825	11	1	0	0.0308664	0.223613	0.974189	0.00939809	0.0785746	0.996864	0.996908	0.999956	4.17211	3.47122	3.62448	3.78475	3.7845	3.78444	0.102349	-0.0827789	-0.0422662	2.05798	3.67076	1.66406	3.67076	0.795577	0.994421	0.853248	0.927334	6.12303	94.315	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35502	-317.998	5.62423	-842.714	-282.069	53.452	273.181	1117.5	0.000319996	4.2179	-5	-5	-5	1	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35778	-110.492	-37.5705	43.9616	-208.24	-75.3313	-42.7439	136.009	0.83541	1.17603	1.06673	1.00539	11	0	0	-0.191665	-0.213533	0.95795	-0.232363	-0.199487	0.951952	0.979901	0.971478	1.03712	1.03119	1.07247	1.06497	1.06507	1.06504	-0.026154	-0.0318035	0.00697004	-999	-999	13.8695	-999	0.859494	0.872528	0.886061	0.92594	4.8755	135.583	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35778	-110.492	-37.5705	43.9616	-63.4157	-180.301	29.8014	150.959	0.00451909	1.17603	1.06673	1.00539	11	0	0	-0.505908	0.832206	0.226914	-0.232363	-0.199487	0.951952	0.979901	0.971478	0.26605	0.257871	0.234107	1.06497	1.06507	1.06504	-0.750181	-0.757883	-0.78019	-999	2.23658	1.64654	-999	0.00881834	0.00436042	0.0204082	0.956116	0.243995	0.105741	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35778	-110.492	-37.5705	43.9616	-223.404	44.4948	79.9989	144.161	0.000542955	1.17603	-5	-5	-5	0	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35778	-110.492	-37.5705	43.9616	-135.705	130.586	339.7	341.135	0.00122	1.17603	1.06673	1.00539	11	0	0	0.322996	-0.869085	0.374652	-0.232363	-0.199487	0.951952	0.979901	0.971478	0.861888	0.807332	0.80017	1.06497	1.06507	1.06504	-0.190692	-0.241989	-0.248698	17.8496	9.0852	14.8257	9.0852	0.00235156	9.73269e-05	0.00188501	1	0.614721	0	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-205.578	-180.238	-859.047	1135.8	0.0475826	5.00266	2.78422	2.19081	11	0	0	0.473444	0.767899	0.431488	0.20026	0.113959	0.973093	0.993485	0.979474	0.734727	0.111227	1.07327	2.65319	2.65317	2.65319	-0.723078	-0.958078	-0.59548	2.61654	-999	2.42986	2.61654	0.0172619	0.0414633	0.0344418	0.685074	0.0962367	0.686837	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-101.19	5.91284	256.517	1.12307	0.714275	5.00266	2.78422	2.19081	11	0	0	0.188795	0.0146808	0.981907	0.20026	0.113959	0.973093	0.993485	0.979474	2.53101	2.54399	0.747871	2.65319	2.65317	2.65319	-0.0460495	-0.0411526	-0.718125	1.60471	1.98425	-999	1.60471	0.716369	0.75179	0.923638	0.956385	1.5872	1.07368	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-153.917	-104.252	175.04	146.054	0.0116942	5.00266	-5	-5	-5	0	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-307.458	131.818	710.735	514.536	0.000207912	5.00266	-5	-5	-5	0	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-87.8814	108.496	-70.3687	343.387	0.00104085	5.00266	2.78422	2.19081	11	0	0	0.585902	0.471179	0.659325	0.20026	0.113959	0.973093	0.993485	0.979474	0.0979932	0.0706865	0.0774762	2.65319	2.65317	2.65319	-0.963066	-0.973358	-0.970799	1.59685	1.50175	1.91038	1.59685	0.000595238	0.000175193	0.00732601	1	0.40658	0.264066	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-118.456	89.143	365.814	138.947	0.0605662	5.00266	-5	-5	-5	0	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-284.161	131.638	523.973	347.755	0.000166368	5.00266	-5	-5	-5	0	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-186.536	132.453	507.822	294.284	0.000470878	5.00266	-5	-5	-5	0	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-53.3987	6.14563	594.04	340.716	0.000470188	5.00266	2.78422	2.19081	11	0	0	-0.315219	-0.770759	0.553686	0.20026	0.113959	0.973093	0.993485	0.979474	0.610431	0.559083	0.544509	2.65319	2.65317	2.65319	-0.769925	-0.789278	-0.794772	-999	-999	-999	-999	0.000297619	0.000172	0.000725689	0.34239	0.274726	0	
msotgia_v10_06_00_06p03_overlay_run9435_B_bnb_nue_release_no_pt_v10_06_00_06p03_stage1_28786811_0.root	9435	35814	-101.339	4.81769	256.716	-9.66398	58.9918	-251.64	519.389	0.000332761	5.00266	-5	-5	-5	0	0	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	-5	
